X.SampleID	i.TwinID
Plate24.7	A4421
Plate24.70	A4872
Plate24.71	A6411
Plate24.8	A4422
Plate24.82	A6161
Plate24.83	A5621
Plate24.9	A5231
Plate24.96	A4382
Plate25.10	A5382
Plate25.11	A7211
Plate25.14	A6452
Plate25.18	A6112
Plate25.19	A5381
Plate25.21	A6591
Plate25.24	A6391
Plate25.25	A7212
Plate25.29	A8671
Plate25.3	A5832
Plate25.31	A6352
Plate25.4	A5642
Plate25.42	A6551
Plate25.43	A6552
Plate25.44	A4171
Plate25.45	A4172
Plate25.49	A4921
Plate25.5	A5831
Plate25.52	A6191
Plate25.53	A6192
Plate25.60	A6931
Plate25.61	A6932
Plate25.65	A8641
Plate25.66	A8642
Plate25.69	A4351
Plate25.70	A6501
Plate25.71	A6502
Plate25.73	A4622
Plate25.74	A4922
Plate25.80	A6881
Plate25.81	A6882
Plate25.87	A5161
Plate25.91	A7101
Plate25.92	A7102
Plate26.11	A8772
Plate26.15	A6251
Plate26.23	A5681
Plate26.27	A6791
Plate26.28	A6792
Plate26.29	A8461
Plate26.30	A8462
Plate26.31	A8701
Plate26.33	A8702
Plate26.47	A8501
Plate26.48	A8502
Plate26.51	A6971
Plate26.52	A6972
Plate26.54	A4682
Plate26.55	A8661
Plate26.56	A8662
Plate26.57	A5011
Plate26.58	A5012
Plate26.65	A7291
Plate26.66	A7292
Plate26.69	A6442
Plate26.73	A6321
Plate26.74	A6322
Plate26.82	A4681
Plate26.89	A8801
Plate26.9	A8771
Plate26.90	A8802
Plate27.10	A6732
Plate27.11	A8431
Plate27.12	A8432
Plate27.13	A6531
Plate27.15	A2512
Plate27.17	A8591
Plate27.21	A7311
Plate27.24	A6781
Plate27.25	A6782
Plate27.26	A4861
Plate27.27	A4862
Plate27.29	A7241
Plate27.30	A7242
Plate27.31	A7221
Plate27.32	A7222
Plate27.40	A7162
Plate27.41	A6181
Plate27.42	A6182
Plate27.48	A6581
Plate27.54	A8481
Plate27.56	A6602
Plate27.9	A6731
Plate28.11	A4071
Plate28.12	A4072
Plate28.13	A7261
Plate28.14	A7262
Plate28.15	A6441
Plate28.17	A5851
Plate28.19	A5852
Plate28.2	A7131
Plate28.20	A7011
Plate28.21	A7012
Plate28.24	A6482
Plate28.25	A6481
Plate28.26	A6981
Plate28.27	A6982
Plate28.30	A4531
Plate28.38	A2791
Plate28.4	A7132
Plate28.40	A7281
Plate28.41	A7282
Plate28.46	A8601
Plate28.47	A8602
Plate28.5	A4532
Plate28.50	A342
Plate28.51	A7031
Plate28.52	A7032
Plate28.55	A7402
Plate28.6	A4812
Plate28.60	A4811
Plate28.61	A5241
Plate28.62	A5242
Plate28.68	A8611
Plate28.69	A7181
Plate28.7	A4821
Plate28.73	A2422
Plate28.8	A6611
Plate28.85	A4031
Plate28.9	A6612
Plate28.90	A4362
Plate28.91	A4411
Plate28.93	A4361
Plate29.13	A7172
Plate29.14	A4112
Plate29.15	A4111
Plate29.19	A8812
Plate29.27	A8811
Plate29.3	A5581
Plate29.37	A5151
Plate29.38	A5152
Plate29.4	A5501
Plate29.41	A7091
Plate29.42	A7092
Plate29.44	A5582
Plate29.5	A5502
Plate29.50	A5191
Plate29.56	A4151
Plate29.57	A4152
Plate29.59	A6001
Plate29.60	A6002
Plate29.64	A5592
Plate29.65	A8001
Plate29.68	A8002
Plate29.72	A8762
Plate29.75	A5572
Plate29.8	A8651
Plate29.9	A7171
Plate29.94	A8621
Plate29.95	A8622
Plate29.96	A4331
Plate30.1	A4332
Plate30.13	A5672
Plate30.16	A4991
Plate30.17	A4992
Plate30.18	A8491
Plate30.19	A8492
Plate30.3	A3951
Plate30.30	A8782
Plate30.33	A8861
Plate30.34	A8862
Plate30.37	A5811
Plate30.38	A5812
Plate30.39	A5912
Plate30.4	A3952
Plate30.40	A4701
Plate30.6	A8781
Plate30.62	A8631
Plate30.63	A8632
Plate30.68	A8851
Plate30.69	A8852
Plate30.70	A5391
Plate30.72	A7411
Plate30.80	A8441
Plate30.81	A8442
Plate30.82	A4491
Plate30.83	A4492
Plate30.84	A4441
Plate30.93	A4771
Plate30.94	A4772
Plate30.95	A4932
Plate31.27	A4182
Plate31.30	A8471
Plate31.31	A8472
Plate31.37	A4222
Plate31.38	A4221
Plate31.43	A8511
Plate31.45	A4551
Plate31.46	A4552
Plate31.49	A4501
Plate31.50	A4502
Plate31.53	A4542
Plate31.54	A4241
Plate31.55	A4242
Plate31.56	A4791
Plate31.57	A4792
Plate31.59	A8721
Plate31.6	A4321
Plate31.60	A8722
Plate31.61	A4391
Plate31.63	A4392
Plate31.64	A4931
Plate31.66	A8542
Plate31.68	A8541
Plate31.69	A4051
Plate31.7	A4322
Plate31.70	A4052
Plate32.13	A4401
Plate32.14	A4402
Plate32.15	A4601
Plate32.17	A4602
Plate32.33	A4561
Plate32.34	A4562
Plate32.49	A5251
Plate32.50	A5252
Plate32.65	A3851
Plate32.66	A3852
Plate32.73	A6011
Plate32.87	A5051
Plate32.89	A5052
Plate32.94	A5111
Plate33.12	A6872
Plate33.13	A6871
Plate33.24	A8741
Plate33.26	A8742
Plate33.28	A4641
Plate33.29	A4642
Plate33.36	A3932
Plate33.37	A5081
Plate33.40	A5441
Plate33.42	A5442
Plate33.45	A5721
Plate33.51	A8751
Plate33.52	A8752
Plate33.58	A5082
Plate34.10	A311
Plate34.12	A1002
Plate34.37	A1042
Plate34.40	A1362
Plate34.49	A3571
Plate34.54	A1092
Plate34.61	A2462
Plate34.66	A681
Plate34.67	A2461
Plate34.69	A81
Plate34.7	A891
Plate34.84	A2451
Plate34.92	A2662
Plate5.15	NA65512
Plate5.3	NA95451
Plate5.31	NA52001
Plate5.33	NA33271
Plate5.42	NA94511
Plate5.43	NA94512
Plate5.49	NA32302
Plate5.55	NA33981
Plate5.61	NA90392
Plate5.62	NA23701
Plate5.65	NA23702
Plate5.67	NA90391
Plate5.69	NA32452
Plate5.71	NA52602
Plate5.72	NA52601
Plate5.88	NA99201
Plate5.90	NA52002
Plate5.91	NA971
Plate5.92	NA972
Plate6.10	NA70991
Plate6.14	NA21502
Plate6.19	NA53872
Plate6.2	NA32332
Plate6.20	NA20121
Plate6.22	NA52771
Plate6.23	NA65511
Plate6.25	NA381
Plate6.27	NA2511
Plate6.3	NA60561
Plate6.30	NA51142
Plate6.43	NA80371
Plate6.47	NA65902
Plate6.48	NA8022
Plate6.49	NA52071
Plate6.56	NA70822
Plate6.63	NA50971
Plate6.67	NA50972
Plate6.8	NA20122
Plate6.86	NA22991
Plate6.88	NA2512
Plate6.90	NA51141
Plate7.11	NA55211
Plate7.13	NA55212
Plate7.18	NA52212
Plate7.21	NA52211
Plate7.25	NA8021
Plate7.27	NA65901
Plate7.38	NA1241
Plate7.39	NA1242
Plate7.40	NA30721
Plate7.5	NA382
Plate7.50	NA60812
Plate7.51	NA52202
Plate7.52	NA50791
Plate7.54	NA50792
Plate7.58	NA52201
Plate7.6	NA51622
Plate7.69	NA56062
Plate7.7	NA51621
Plate7.70	NA57501
Plate7.71	NA55901
Plate7.72	NA59561
Plate7.76	NA52092
Plate7.79	NA59562
Plate7.80	NA9731
Plate7.83	NA54051
Plate7.87	NA52141
Plate7.90	NA30561
Plate7.92	NA30562
Plate8.10	NA74931
